Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Atypical depression,Make sure someone stays with that person.,Call 911 or your local emergency number immediately.,"Or, if you can do so safely, take the person to the nearest hospital emergency room.",Reach out to a close friend or loved one.,"Contact a minister, spiritual leader or someone else in your faith community.",,,,,,,,,,,,
Aortic dissection,"Sudden severe chest or upper back pain, often described as a tearing, ripping or shearing sensation, that radiates to the neck or down the back",Sudden severe abdominal pain,Loss of consciousness,Shortness of breath,"Sudden difficulty speaking, loss of vision, weakness or paralysis of one side of your body, similar to those of a stroke",Weak pulse in one arm or thigh compared with the other,Leg pain,Difficulty walking,Leg paralysis,,,,,,,,
Hyperhidrosis,Sweating disrupts your daily routine,Sweating causes emotional distress or social withdrawal,You suddenly begin to sweat more than usual,You experience night sweats for no apparent reason,,,,,,,,,,,,,
Aplastic anemia,Fatigue,Shortness of breath,Rapid or irregular heart rate,Pale skin,Frequent or prolonged infections,Unexplained or easy bruising,Nosebleeds and bleeding gums,Prolonged bleeding from cuts,Skin rash,Dizziness,Headache,Fever,,,,,
Latex allergy,Itching,Skin redness,Hives or rash,,,,,,,,,,,,,,
Latex allergy,Sneezing,Runny nose,"Itchy, watery eyes",Scratchy throat,Difficulty breathing,Wheezing,Cough,,,,,,,,,,
Latex allergy,Difficulty breathing,Hives or swelling,Nausea and vomiting,Wheezing,Drop in blood pressure,Dizziness,Loss of consciousness,Confusion,Rapid or weak pulse,,,,,,,,
Transient global amnesia,"Sudden onset of memory loss, verified by a witness",Retention of personal identity despite memory loss,"Normal cognition, such as the ability to recognize and name familiar objects and follow simple directions","Absence of signs indicating damage to a particular area of the brain, such as limb paralysis, involuntary movement or impaired word recognition",,,,,,,,,,,,,
Transient global amnesia,Duration of no more than 24 hours and generally shorter,Gradual return of memory,No recent head injury,No evidence of seizures during the period of amnesia,No history of active epilepsy,,,,,,,,,,,,
Osteoarthritis,Pain. Affected joints might hurt during or after movement.,Stiffness. Joint stiffness might be most noticeable upon awakening or after being inactive.,Tenderness. Your joint might feel tender when you apply light pressure to or near it.,Loss of flexibility. You might not be able to move your joint through its full range of motion.,"Grating sensation. You might feel a grating sensation when you use the joint, and you might hear popping or crackling.","Bone spurs. These extra bits of bone, which feel like hard lumps, can form around the affected joint.",Swelling. This might be caused by soft tissue inflammation around the joint.,,,,,,,,,,
Alcohol intolerance,Facial redness (flushing),"Red, itchy skin bumps (hives)",Worsening of pre-existing asthma,Runny or stuffy nose,Low blood pressure,Nausea and vomiting,Diarrhea,,,,,,,,,,
Autism spectrum disorder,Fails to respond to his or her name or appears not to hear you at times,"Resists cuddling and holding, and seems to prefer playing alone, retreating into his or her own world",Has poor eye contact and lacks facial expression,"Doesn't speak or has delayed speech, or loses previous ability to say words or sentences","Can't start a conversation or keep one going, or only starts one to make requests or label items",Speaks with an abnormal tone or rhythm and may use a singsong voice or robot-like speech,"Repeats words or phrases verbatim, but doesn't understand how to use them",Doesn't appear to understand simple questions or directions,Doesn't express emotions or feelings and appears unaware of others' feelings,Doesn't point at or bring objects to share interest,"Inappropriately approaches a social interaction by being passive, aggressive or disruptive","Has difficulty recognizing nonverbal cues, such as interpreting other people's facial expressions, body postures or tone of voice",,,,,
Autism spectrum disorder,"Performs repetitive movements, such as rocking, spinning or hand flapping","Performs activities that could cause self-harm, such as biting or head-banging",Develops specific routines or rituals and becomes disturbed at the slightest change,"Has problems with coordination or has odd movement patterns, such as clumsiness or walking on toes, and has odd, stiff or exaggerated body language","Is fascinated by details of an object, such as the spinning wheels of a toy car, but doesn't understand the overall purpose or function of the object","Is unusually sensitive to light, sound or touch, yet may be indifferent to pain or temperature",Doesn't engage in imitative or make-believe play,Fixates on an object or activity with abnormal intensity or focus,"Has specific food preferences, such as eating only a few foods, or refusing foods with a certain texture",Doesn't point at or bring objects to share interest,"Inappropriately approaches a social interaction by being passive, aggressive or disruptive","Has difficulty recognizing nonverbal cues, such as interpreting other people's facial expressions, body postures or tone of voice",,,,,
Autism spectrum disorder,Doesn't respond with a smile or happy expression by 6 months,Doesn't mimic sounds or facial expressions by 9 months,Doesn't babble or coo by 12 months,Doesn't gesture — such as point or wave — by 14 months,Doesn't say single words by 16 months,"Doesn't play ""make-believe"" or pretend by 18 months",Doesn't say two-word phrases by 24 months,Loses language skills or social skills at any age,"Has specific food preferences, such as eating only a few foods, or refusing foods with a certain texture",Doesn't point at or bring objects to share interest,"Inappropriately approaches a social interaction by being passive, aggressive or disruptive","Has difficulty recognizing nonverbal cues, such as interpreting other people's facial expressions, body postures or tone of voice",,,,,
Alcoholic hepatitis,Loss of appetite,Nausea and vomiting,Abdominal tenderness,"Fever, often low grade",Fatigue and weakness,,,,,,,,,,,,
Alcoholic hepatitis,Fluid accumulation in your abdomen (ascites),Confusion and behavior changes due to a buildup of toxins normally broken down and eliminated by the liver,Kidney and liver failure,"Fever, often low grade",Fatigue and weakness,,,,,,,,,,,,
Alcoholic hepatitis,Have signs or symptoms of alcoholic hepatitis,Can't control your drinking,Would like help cutting back on your drinking,"Fever, often low grade",Fatigue and weakness,,,,,,,,,,,,
Alcohol poisoning,Confusion,Vomiting,Seizures,Slow breathing (less than eight breaths a minute),Irregular breathing (a gap of more than 10 seconds between breaths),Blue-tinged skin or pale skin,Low body temperature (hypothermia),Passing out (unconsciousness) and can't be awakened,,,,,,,,,
Alcohol poisoning,Call 911 or your local emergency number immediately. Never assume the person will sleep off alcohol poisoning.,"Be prepared to provide information. If you know, be sure to tell hospital or emergency personnel the kind and amount of alcohol the person drank, and when.","Don't leave an unconscious person alone. Because alcohol poisoning affects the way the gag reflex works, someone with alcohol poisoning may choke on his or her own vomit and not be able to breathe. While waiting for help, don't try to make the person vomit because he or she could choke.","Help a person who is vomiting. Try to keep him or her sitting up. If the person must lie down, make sure to turn his or her head to the side — this helps prevent choking. Try to keep the person awake to prevent loss of consciousness.",Irregular breathing (a gap of more than 10 seconds between breaths),Blue-tinged skin or pale skin,Low body temperature (hypothermia),Passing out (unconsciousness) and can't be awakened,,,,,,,,,
Asthma,Shortness of breath,Chest tightness or pain,"Wheezing when exhaling, which is a common sign of asthma in children","Trouble sleeping caused by shortness of breath, coughing or wheezing","Coughing or wheezing attacks that are worsened by a respiratory virus, such as a cold or the flu",,,,,,,,,,,,
Asthma,Asthma signs and symptoms that are more frequent and bothersome,"Increasing difficulty breathing, as measured with a device used to check how well your lungs are working (peak flow meter)",The need to use a quick-relief inhaler more often,"Trouble sleeping caused by shortness of breath, coughing or wheezing","Coughing or wheezing attacks that are worsened by a respiratory virus, such as a cold or the flu",,,,,,,,,,,,
Asthma,"Exercise-induced asthma, which may be worse when the air is cold and dry","Occupational asthma, triggered by workplace irritants such as chemical fumes, gases or dust","Allergy-induced asthma, triggered by airborne substances, such as pollen, mold spores, cockroach waste, or particles of skin and dried saliva shed by pets (pet dander)","Trouble sleeping caused by shortness of breath, coughing or wheezing","Coughing or wheezing attacks that are worsened by a respiratory virus, such as a cold or the flu",,,,,,,,,,,,
Asthma,Rapid worsening of shortness of breath or wheezing,No improvement even after using a quick-relief inhaler,Shortness of breath when you are doing minimal physical activity,"Trouble sleeping caused by shortness of breath, coughing or wheezing","Coughing or wheezing attacks that are worsened by a respiratory virus, such as a cold or the flu",,,,,,,,,,,,
Asthma,"If you think you have asthma. If you have frequent coughing or wheezing that lasts more than a few days or any other signs or symptoms of asthma, see your doctor. Treating asthma early may prevent long-term lung damage and help keep the condition from getting worse over time.","To monitor your asthma after diagnosis. If you know you have asthma, work with your doctor to keep it under control. Good long-term control helps you feel better from day to day and can prevent a life-threatening asthma attack.","
If your asthma symptoms get worse. Contact your doctor right away if your medication doesn't seem to ease your symptoms or if you need to use your quick-relief inhaler more often.
Don't take more medication than prescribed without consulting your doctor first. Overusing asthma medication can cause side effects and may make your asthma worse.
",To review your treatment. Asthma often changes over time. Meet with your doctor regularly to discuss your symptoms and make any needed treatment adjustments.,"Coughing or wheezing attacks that are worsened by a respiratory virus, such as a cold or the flu",,,,,,,,,,,,
Asthma,Asthma care at Mayo Clinic,Trouble breathing,Vocal cord dysfunction,To review your treatment. Asthma often changes over time. Meet with your doctor regularly to discuss your symptoms and make any needed treatment adjustments.,"Coughing or wheezing attacks that are worsened by a respiratory virus, such as a cold or the flu",,,,,,,,,,,,
Achilles tendon rupture,The feeling of having been kicked in the calf,"Pain, possibly severe, and swelling near the heel","An inability to bend the foot downward or ""push off"" the injured leg when walking",An inability to stand on the toes on the injured leg,A popping or snapping sound when the injury occurs,,,,,,,,,,,,
